Time_Slot,Inflexible_Load,Base_Flexible_Load,Optimized_Total_CPU,Nominal_IT_Power_kW,Optimized_Total_IT_Power_kW,P_Grid_IT_kW,P_Grid_Cooling_kW,P_Grid_OD_kW,P_UPS_Charge_kW,P_UPS_Discharge_kW,E_UPS_kWh,Total_Nominal_Power_kW,Total_Optimized_Power_kW,Spot_Price_GBP_per_MWh
1,0.2800,0.4000,0.3800,733.3440,483.3540,0.0000,193.3416,48.3354,0.0000,483.3540,468.6538,1100.0160,241.6770,79.9000
2,0.2700,0.3800,0.3650,708.3450,470.8545,0.0000,188.3418,47.0855,0.0000,470.8545,340.7042,1062.5175,235.4273,79.9000
3,0.2600,0.3600,0.2600,683.3460,383.3580,233.5665,153.3432,38.3358,0.0000,149.7915,300.0000,1025.0190,425.2455,79.9000
4,0.2500,0.3400,0.2500,658.3470,375.0250,375.0250,150.0100,37.5025,0.0000,0.0000,300.0000,987.5205,562.5375,79.9000
5,0.2500,0.3100,0.6560,633.3480,713.3448,713.3448,285.3379,71.3345,0.0000,0.0000,300.0000,950.0220,1070.0172,71.0000
6,0.2300,0.3200,0.2300,625.0150,358.3590,358.3590,143.3436,35.8359,0.0000,0.0000,300.0000,937.5225,537.5385,71.0000
7,0.2100,0.3200,0.4287,608.3490,523.9357,523.9357,209.5743,52.3936,0.0000,0.0000,300.0000,912.5235,785.9036,71.0000
8,0.1900,0.3200,0.2410,591.6830,367.5253,367.5253,147.0101,36.7525,0.0000,0.0000,300.0000,887.5245,551.2880,71.0000
9,0.1700,0.3300,0.5546,583.3500,628.8482,628.8482,251.5393,62.8848,0.0000,0.0000,300.0000,875.0250,943.2723,65.4000
10,0.1600,0.3000,0.1600,550.0180,300.0280,300.0280,120.0112,30.0028,0.0000,0.0000,300.0000,825.0270,450.0420,65.4000
11,0.1600,0.2800,0.6039,533.3520,669.9299,669.9299,267.9719,66.9930,0.0000,0.0000,300.0000,800.0280,1004.8948,65.4000
12,0.1600,0.2600,0.1600,516.6860,300.0280,300.0280,120.0112,30.0028,0.0000,0.0000,300.0000,775.0290,450.0420,65.4000
13,0.1600,0.2300,1.0000,491.6870,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,300.0000,737.5305,1500.0000,55.5000
14,0.1400,0.2400,0.1400,483.3540,283.3620,283.3620,113.3448,28.3362,0.0000,0.0000,300.0000,725.0310,425.0430,55.5000
15,0.1200,0.2500,0.2303,475.0210,358.6090,358.6090,143.4436,35.8609,0.0000,0.0000,300.0000,712.5315,537.9135,55.5000
16,0.1000,0.2600,0.4560,466.6880,546.6848,546.6848,218.6739,54.6685,0.0000,0.0000,300.0000,700.0320,820.0272,55.5000
17,0.0800,0.2700,0.5214,458.3550,601.1826,601.1826,240.4731,60.1183,0.0000,0.0000,300.0000,687.5325,901.7739,48.8000
18,0.0700,0.2700,1.0000,450.0220,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,300.0000,675.0330,1500.0000,48.8000
19,0.0600,0.2700,0.0600,441.6890,216.6980,216.6980,86.6792,21.6698,113.4146,0.0000,323.2500,662.5335,438.4616,48.8000
20,0.0600,0.2700,0.0832,441.6890,236.0306,236.0306,94.4122,23.6031,270.0000,0.0000,378.6000,662.5335,624.0458,48.8000
21,0.0600,0.2700,1.0000,441.6890,1000.0000,1000.0000,400.0000,100.0000,270.0000,0.0000,433.9500,662.5335,1770.0000,48.1000
22,0.0700,0.2400,0.5299,425.0230,608.2657,608.2657,243.3063,60.8266,270.0000,0.0000,489.3000,637.5345,1182.3985,48.1000
23,0.0900,0.2200,1.0000,425.0230,1000.0000,1000.0000,400.0000,100.0000,270.0000,0.0000,544.6500,637.5345,1770.0000,48.1000
24,0.1000,0.2000,0.3000,416.6900,416.6900,416.6900,166.6760,41.6690,270.0000,0.0000,600.0000,625.0350,895.0350,48.1000
25,0.1200,0.1800,0.1650,416.6900,304.1945,304.1945,121.6778,30.4195,0.0000,0.0000,600.0000,625.0350,456.2917,54.0000
26,0.1400,0.1900,0.1400,441.6890,283.3620,283.3620,113.3448,28.3362,0.0000,0.0000,600.0000,662.5335,425.0430,54.0000
27,0.1600,0.2100,0.1600,475.0210,300.0280,300.0280,120.0112,30.0028,0.0000,0.0000,600.0000,712.5315,450.0420,54.0000
28,0.1800,0.2200,0.9350,500.0200,945.8355,945.8355,378.3342,94.5836,0.0000,0.0000,600.0000,750.0300,1418.7532,54.0000
29,0.2000,0.2400,0.2000,533.3520,333.3600,333.3600,133.3440,33.3360,0.0000,0.0000,600.0000,800.0280,500.0400,74.0000
30,0.2100,0.2400,0.2100,541.6850,341.6930,341.6930,136.6772,34.1693,0.0000,0.0000,600.0000,812.5275,512.5395,74.0000
31,0.2200,0.2400,0.2800,550.0180,400.0240,400.0240,160.0096,40.0024,0.0000,0.0000,600.0000,825.0270,600.0360,74.0000
32,0.2300,0.2400,0.5924,558.3510,660.3469,660.3469,264.1388,66.0347,0.0000,0.0000,600.0000,837.5265,990.5204,74.0000
33,0.2400,0.2400,0.3000,566.6840,416.6900,416.6900,166.6760,41.6690,0.0000,0.0000,600.0000,850.0260,625.0350,75.0000
34,0.2600,0.2500,0.2600,591.6830,383.3580,383.3580,153.3432,38.3358,0.0000,0.0000,600.0000,887.5245,575.0370,75.0000
35,0.2900,0.2600,0.2900,625.0150,408.3570,408.3570,163.3428,40.8357,0.0000,0.0000,600.0000,937.5225,612.5355,75.0000
36,0.3100,0.2700,0.3725,650.0140,477.1042,477.1042,190.8417,47.7104,0.0000,0.0000,600.0000,975.0210,715.6564,75.0000
37,0.3400,0.2800,1.0000,683.3460,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1025.0190,1500.0000,67.6000
38,0.3500,0.2500,0.8251,666.6800,854.2558,854.2558,341.7023,85.4256,0.0000,0.0000,600.0000,1000.0200,1281.3837,67.6000
39,0.3600,0.2300,1.0000,658.3470,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,987.5205,1500.0000,67.6000
40,0.3700,0.2100,1.0000,650.0140,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,975.0210,1500.0000,67.6000
41,0.3700,0.1900,0.4650,633.3480,554.1845,554.1845,221.6738,55.4184,0.0000,0.0000,600.0000,950.0220,831.2767,73.0000
42,0.3800,0.1800,0.3800,633.3480,483.3540,483.3540,193.3416,48.3354,0.0000,0.0000,600.0000,950.0220,725.0310,73.0000
43,0.3900,0.1700,0.3900,633.3480,491.6870,491.6870,196.6748,49.1687,0.0000,0.0000,600.0000,950.0220,737.5305,73.0000
44,0.4000,0.1600,0.4900,633.3480,575.0170,575.0170,230.0068,57.5017,0.0000,0.0000,600.0000,950.0220,862.5255,73.0000
45,0.4200,0.1600,0.8450,650.0140,870.8385,870.8385,348.3354,87.0838,0.0000,0.0000,600.0000,975.0210,1306.2577,69.6000
46,0.4100,0.1700,0.4100,650.0140,508.3530,508.3530,203.3412,50.8353,0.0000,0.0000,600.0000,975.0210,762.5295,69.6000
47,0.4000,0.1800,1.0000,650.0140,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,975.0210,1500.0000,69.6000
48,0.3900,0.1900,0.5800,650.0140,650.0140,650.0140,260.0056,65.0014,0.0000,0.0000,600.0000,975.0210,975.0210,69.6000
49,0.4000,0.2000,0.4000,666.6800,500.0200,500.0200,200.0080,50.0020,0.0000,0.0000,600.0000,1000.0200,750.0300,72.3300
50,0.3900,0.2100,0.3900,666.6800,491.6870,491.6870,196.6748,49.1687,0.0000,0.0000,600.0000,1000.0200,737.5305,72.3300
51,0.3900,0.2200,0.6300,675.0130,691.6790,691.6790,276.6716,69.1679,0.0000,0.0000,600.0000,1012.5195,1037.5185,72.3300
52,0.3800,0.2300,1.0000,675.0130,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1012.5195,1500.0000,72.3300
53,0.3600,0.2400,0.3600,666.6800,466.6880,466.6880,186.6752,46.6688,0.0000,0.0000,600.0000,1000.0200,700.0320,77.4700
54,0.3600,0.2400,0.7000,666.6800,750.0100,750.0100,300.0040,75.0010,0.0000,0.0000,600.0000,1000.0200,1125.0150,77.4700
55,0.3500,0.2500,0.3500,666.6800,458.3550,458.3550,183.3420,45.8355,0.0000,0.0000,600.0000,1000.0200,687.5325,77.4700
56,0.3500,0.2600,1.0000,675.0130,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1012.5195,1500.0000,77.4700
57,0.3500,0.2700,0.4175,683.3460,514.6028,514.6028,205.8411,51.4603,0.0000,0.0000,600.0000,1025.0190,771.9041,82.0000
58,0.3400,0.2700,0.3400,675.0130,450.0220,450.0220,180.0088,45.0022,0.0000,0.0000,600.0000,1012.5195,675.0330,82.0000
59,0.3300,0.2700,0.3975,666.6800,497.9368,497.9368,199.1747,49.7937,0.0000,0.0000,600.0000,1000.0200,746.9051,82.0000
60,0.3200,0.2700,0.3200,658.3470,433.3560,433.3560,173.3424,43.3356,0.0000,0.0000,600.0000,987.5205,650.0340,82.0000
61,0.3300,0.2700,0.8322,666.6800,860.1723,860.1723,344.0689,86.0172,0.0000,0.0000,600.0000,1000.0200,1290.2584,81.7000
62,0.3400,0.2500,0.3400,658.3470,450.0220,450.0220,180.0088,45.0022,0.0000,0.0000,600.0000,987.5205,675.0330,81.7000
63,0.3500,0.2300,0.3500,650.0140,458.3550,458.3550,183.3420,45.8355,0.0000,0.0000,600.0000,975.0210,687.5325,81.7000
64,0.3700,0.2100,0.4950,650.0140,579.1835,579.1835,231.6734,57.9183,0.0000,0.0000,600.0000,975.0210,868.7753,81.7000
65,0.4000,0.2000,0.8835,666.6800,902.9206,902.9206,361.1682,90.2921,0.0000,0.0000,600.0000,1000.0200,1354.3808,80.4200
66,0.3700,0.2500,0.8943,683.3460,911.9202,911.9202,364.7681,91.1920,0.0000,0.0000,600.0000,1025.0190,1367.8803,80.4200
67,0.3300,0.3000,1.0000,691.6790,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1037.5185,1500.0000,80.4200
68,0.3000,0.3500,1.0000,708.3450,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1062.5175,1500.0000,80.4200
69,0.2700,0.4000,0.6700,725.0110,725.0110,725.0110,290.0044,72.5011,0.0000,0.0000,600.0000,1087.5165,1087.5165,84.7600
70,0.2700,0.4100,0.6800,733.3440,733.3440,733.3440,293.3376,73.3344,0.0000,0.0000,600.0000,1100.0160,1100.0160,84.7600
71,0.2700,0.4200,0.3800,741.6770,483.3540,483.3540,193.3416,48.3354,0.0000,0.0000,600.0000,1112.5155,725.0310,84.7600
72,0.2600,0.4300,1.0000,741.6770,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1112.5155,1500.0000,84.7600
73,0.2600,0.4500,0.2600,758.3430,383.3580,383.3580,153.3432,38.3358,0.0000,0.0000,600.0000,1137.5145,575.0370,86.7000
74,0.2600,0.4500,1.0000,758.3430,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1137.5145,1500.0000,86.7000
75,0.2600,0.4500,0.5800,758.3430,650.0140,650.0140,260.0056,65.0014,0.0000,0.0000,600.0000,1137.5145,975.0210,86.7000
76,0.2600,0.4500,1.0000,758.3430,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1137.5145,1500.0000,86.7000
77,0.2600,0.4500,0.2600,758.3430,383.3580,383.3580,153.3432,38.3358,0.0000,0.0000,600.0000,1137.5145,575.0370,92.2300
78,0.2600,0.4500,0.8900,758.3430,908.3370,908.3370,363.3348,90.8337,0.0000,0.0000,600.0000,1137.5145,1362.5055,92.2300
79,0.2500,0.4600,0.9800,758.3430,983.3340,983.3340,393.3336,98.3334,0.0000,0.0000,600.0000,1137.5145,1475.0010,92.2300
80,0.2500,0.4600,0.7100,758.3430,758.3430,758.3430,303.3372,75.8343,0.0000,0.0000,600.0000,1137.5145,1137.5145,92.2300
81,0.2500,0.4700,0.2500,766.6760,375.0250,375.0250,150.0100,37.5025,0.0000,0.0000,600.0000,1150.0140,562.5375,110.0000
82,0.2600,0.4600,0.2600,766.6760,383.3580,383.3580,153.3432,38.3358,0.0000,0.0000,600.0000,1150.0140,575.0370,110.0000
83,0.2700,0.4500,0.4165,766.6760,513.7695,513.7695,205.5078,51.3769,0.0000,0.0000,600.0000,1150.0140,770.6542,110.0000
84,0.2800,0.4400,1.0000,766.6760,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,600.0000,1150.0140,1500.0000,110.0000
85,0.2900,0.4100,0.4745,750.0100,562.1009,0.0000,224.8403,56.2101,0.0000,562.1009,447.2552,1125.0150,281.0504,111.3000
86,0.2900,0.4100,0.4503,750.0100,541.8991,0.0000,216.7597,54.1899,0.0000,541.8991,300.0000,1125.0150,270.9496,111.3000
87,0.2900,0.4100,0.2900,750.0100,408.3570,408.3570,163.3428,40.8357,0.0000,0.0000,300.0000,1125.0150,612.5355,111.3000
88,0.3000,0.4100,0.3447,758.3430,453.9744,453.9744,181.5897,45.3974,0.0000,0.0000,300.0000,1137.5145,680.9615,111.3000
89,0.3000,0.4000,1.0000,750.0100,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,300.0000,1125.0150,1500.0000,106.5000
90,0.2700,0.4000,0.9467,725.0110,955.5851,955.5851,382.2340,95.5585,0.0000,0.0000,300.0000,1087.5165,1433.3777,106.5000
91,0.2500,0.4100,0.2500,716.6780,375.0250,375.0250,150.0100,37.5025,0.0000,0.0000,300.0000,1075.0170,562.5375,106.5000
92,0.2200,0.4100,0.2200,691.6790,350.0260,350.0260,140.0104,35.0026,0.0000,0.0000,300.0000,1037.5185,525.0390,106.5000
93,0.2100,0.4200,1.0000,691.6790,1000.0000,1000.0000,400.0000,100.0000,0.0000,0.0000,300.0000,1037.5185,1500.0000,92.7000
94,0.2100,0.4200,0.9758,691.6790,979.8341,979.8341,391.9337,97.9834,0.0000,0.0000,300.0000,1037.5185,1469.7512,92.7000
95,0.2100,0.4200,0.2100,691.6790,341.6930,341.6930,136.6772,34.1693,0.0000,0.0000,300.0000,1037.5185,512.5395,92.7000
96,0.2100,0.4200,0.2100,691.6790,341.6930,341.6930,136.6772,34.1693,0.0000,0.0000,300.0000,1037.5185,512.5395,92.7000
97,0.6800,0.0000,1.0000,733.3440,266.6560,266.6560,106.6624,26.6656,0.0000,0.0000,300.0000,1100.0160,399.9840,79.9000
98,0.6500,0.0000,1.0000,708.3450,291.6550,291.6550,116.6620,29.1655,0.0000,0.0000,300.0000,1062.5175,437.4825,79.9000
99,0.6200,0.0000,0.9857,683.3460,304.7378,304.7378,121.8951,30.4738,0.0000,0.0000,300.0000,1025.0190,457.1067,79.9000
100,0.5900,0.0000,0.5900,658.3470,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,987.5205,0.0000,79.9000
101,0.5600,0.0000,1.0000,633.3480,366.6520,366.6520,146.6608,36.6652,0.0000,0.0000,300.0000,950.0220,549.9780,71.0000
102,0.5500,0.0000,0.5500,625.0150,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,300.0000,937.5225,0.0000,71.0000
103,0.5300,0.0000,0.9328,608.3490,335.6532,335.6532,134.2613,33.5653,113.4146,0.0000,323.2500,912.5235,616.8945,71.0000
104,0.5100,0.0000,0.5100,591.6830,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,378.6000,887.5245,270.0000,71.0000
105,0.5000,0.0000,1.0000,583.3500,416.6500,416.6500,166.6600,41.6650,270.0000,0.0000,433.9500,875.0250,894.9750,65.4000
106,0.4600,0.0000,0.6530,550.0180,160.8269,160.8269,64.3308,16.0827,270.0000,0.0000,489.3000,825.0270,511.2403,65.4000
107,0.4400,0.0000,0.4400,533.3520,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,544.6500,800.0280,270.0000,65.4000
108,0.4200,0.0000,0.4200,516.6860,0.0000,0.0000,0.0000,0.0000,270.0000,0.0000,600.0000,775.0290,270.0000,65.4000
